t,energy,relative_drift
7.2405,-1.28714,8.28047e-15
7.2605,-1.28714,7.59043e-15
7.2805,-1.28714,8.10796e-15
7.3005,-1.28714,7.41792e-15
7.3205,-1.28714,6.72788e-15
7.3405,-1.28714,7.59043e-15
7.3605,-1.28714,7.0729e-15
7.3805,-1.28714,7.41792e-15
7.4005,-1.28714,7.24541e-15
7.4205,-1.28714,7.24541e-15
7.4405,-1.28714,7.41792e-15
7.4605,-1.28714,6.90039e-15
7.4805,-1.28714,7.41792e-15
7.5005,-1.28714,6.55537e-15
7.5205,-1.28714,6.90039e-15
7.5405,-1.28714,7.0729e-15
7.5605,-1.28714,6.55537e-15
7.5805,-1.28714,7.24541e-15
7.6005,-1.28714,7.76294e-15
7.6205,-1.28714,8.10796e-15
7.6405,-1.28714,8.45298e-15
7.6605,-1.28714,8.798e-15
7.6805,-1.28714,9.14302e-15
7.7005,-1.28714,9.31553e-15
7.7205,-1.28714,9.14302e-15
7.7405,-1.28714,1.05231e-14
7.7605,-1.28714,1.08681e-14
7.7805,-1.28714,1.10406e-14
7.8005,-1.28714,1.27657e-14
7.8205,-1.28714,1.29382e-14
7.8405,-1.28714,1.34558e-14
7.8605,-1.28714,1.32833e-14
7.8805,-1.28714,1.44908e-14
7.9005,-1.28714,1.43183e-14
7.9205,-1.28714,1.39733e-14
7.9405,-1.28714,1.36283e-14
7.9605,-1.28714,1.38008e-14
7.9805,-1.28714,1.19032e-14
8.0005,-1.28714,1.12131e-14
8.0205,-1.28714,1.06956e-14
8.0405,-1.28714,9.83306e-15
8.0605,-1.28714,9.66055e-15
8.0805,-1.28714,8.28047e-15
8.1005,-1.28714,6.72788e-15
8.1205,-1.28714,5.3478e-15
8.1405,-1.28714,5.17529e-15
8.1605,-1.28714,5.17529e-15
8.1805,-1.28714,5.17529e-15
8.2005,-1.28714,5.00278e-15
8.2205,-1.28714,4.83027e-15
8.2405,-1.28714,5.00278e-15
8.2605,-1.28714,4.65776e-15
8.2805,-1.28714,4.48525e-15
8.3005,-1.28714,4.31274e-15
8.3205,-1.28714,4.14024e-15
8.3405,-1.28714,3.79522e-15
8.3605,-1.28714,3.96773e-15
8.3805,-1.28714,3.96773e-15
8.4005,-1.28714,3.79522e-15
8.4205,-1.28714,3.27769e-15
8.4405,-1.28714,4.31274e-15
8.4605,-1.28714,3.79522e-15
8.4805,-1.28714,3.10518e-15
8.5005,-1.28714,3.4502e-15
8.52,-1.28714,3.96773e-15
8.54,-1.28714,5.00278e-15
8.56,-1.28714,5.00278e-15
8.58,-1.28714,5.3478e-15
8.6,-1.28714,5.3478e-15
8.62,-1.28714,5.00278e-15
8.64,-1.28714,4.65776e-15
8.66,-1.28714,3.96773e-15
8.68,-1.28714,3.27769e-15
8.7,-1.28714,5.00278e-15
8.72,-1.28714,5.69282e-15
