t,body,x,y,z,vx,vy,vz
0.8,Body A,-0.245312,0.208172,0,1.02271,-0.722964,0
0.8,Body B,1.05365,0.127435,0,-0.207023,0.4658,0
0.8,Body C,-0.808339,-0.335607,0,-0.815684,0.257164,0
0.82,Body A,-0.224974,0.193486,0,1.0111,-0.745325,0
0.82,Body B,1.04934,0.136745,0,-0.224291,0.465138,0
0.82,Body C,-0.824364,-0.330231,0,-0.786807,0.280187,0
0.84,Body A,-0.204866,0.178373,0,0.999783,-0.765611,0
0.84,Body B,1.04468,0.146039,0,-0.242,0.464289,0
0.84,Body C,-0.83981,-0.324413,0,-0.757783,0.301321,0
0.86,Body A,-0.18498,0.162875,0,0.988939,-0.783858,0
0.86,Body B,1.03966,0.155315,0,-0.26018,0.463221,0
0.86,Body C,-0.854676,-0.31819,0,-0.728759,0.320637,0
0.88,Body A,-0.165304,0.147032,0,0.978721,-0.800114,0
0.88,Body B,1.03427,0.164566,0,-0.278857,0.461897,0
0.88,Body C,-0.868962,-0.311599,0,-0.699864,0.338217,0
0.9,Body A,-0.145826,0.130884,0,0.96927,-0.814429,0
0.9,Body B,1.0285,0.173789,0,-0.298059,0.460279,0
0.9,Body C,-0.882672,-0.304672,0,-0.671211,0.354151,0
0.92,Body A,-0.126528,0.114468,0,0.960708,-0.826856,0
0.92,Body B,1.02234,0.182975,0,-0.31781,0.458322,0
0.92,Body C,-0.895812,-0.297443,0,-0.642897,0.368534,0
0.94,Body A,-0.107391,0.0978216,0,0.953138,-0.837445,0
0.94,Body B,1.01578,0.192119,0,-0.338134,0.455979,0
0.94,Body C,-0.90839,-0.289941,0,-0.615003,0.381465,0
0.96,Body A,-0.088395,0.0809818,0,0.946649,-0.846245,0
0.96,Body B,1.00881,0.201212,0,-0.359053,0.453199,0
0.96,Body C,-0.920416,-0.282193,0,-0.587596,0.393045,0
0.98,Body A,-0.0695173,0.0639835,0,0.941315,-0.853298,0
0.98,Body B,1.00142,0.210244,0,-0.380586,0.449926,0
0.98,Body C,-0.931898,-0.274227,0,-0.560728,0.403372,0
1,Body A,-0.0507343,0.0468612,0,0.937192,-0.858642,0
1,Body B,0.993583,0.219205,0,-0.402749,0.446098,0
1,Body C,-0.942849,-0.266066,0,-0.534443,0.412544,0
1.02,Body A,-0.0320212,0.029649,0,0.934324,-0.862306,0
1.02,Body B,0.985301,0.228084,0,-0.425554,0.44165,0
1.02,Body C,-0.95328,-0.257732,0,-0.508771,0.420656,0
1.04,Body A,-0.0133527,0.0123801,0,0.932742,-0.86431,0
1.04,Body B,0.976556,0.236866,0,-0.449009,0.436511,0
1.04,Body C,-0.963204,-0.249246,0,-0.483733,0.427799,0
1.06,Body A,0.0052971,-0.00491242,0,0.93246,-0.864665,0
1.06,Body B,0.967336,0.245539,0,-0.473118,0.430606,0
1.06,Body C,-0.972633,-0.240626,0,-0.459342,0.434059,0
1.08,Body A,0.0239544,-0.0221956,0,0.933482,-0.863374,0
1.08,Body B,0.957627,0.254085,0,-0.497878,0.423855,0
1.08,Body C,-0.981582,-0.231889,0,-0.435604,0.439519,0
1.1,Body A,0.042645,-0.0394364,0,0.935797,-0.860429,0
1.1,Body B,0.947417,0.262487,0,-0.523278,0.416173,0
1.1,Body C,-0.990062,-0.22305,0,-0.412519,0.444257,0
1.12,Body A,0.0613947,-0.0566016,0,0.939382,-0.855814,0
1.12,Body B,0.936692,0.270725,0,-0.549302,0.40747,0
1.12,Body C,-0.998087,-0.214123,0,-0.39008,0.448344,0
1.14,Body A,0.0802285,-0.0736576,0,0.9442,-0.849503,0
1.14,Body B,0.925441,0.278778,0,-0.575923,0.397653,0
1.14,Body C,-1.00567,-0.205121,0,-0.368277,0.45185,0
1.16,Body A,0.0991706,-0.0905702,0,0.950198,-0.841462,0
1.16,Body B,0.913651,0.286623,0,-0.603103,0.386627,0
1.16,Body C,-1.01282,-0.196053,0,-0.347095,0.454836,0
1.18,Body A,0.118244,-0.107304,0,0.957311,-0.831652,0
1.18,Body B,0.901313,0.294235,0,-0.630794,0.374291,0
1.18,Body C,-1.01956,-0.18693,0,-0.326517,0.45736,0
1.2,Body A,0.13747,-0.123824,0,0.965457,-0.820025,0
1.2,Body B,0.888417,0.301585,0,-0.658936,0.360547,0
1.2,Body C,-1.02589,-0.177761,0,-0.306521,0.459478,0
1.22,Body A,0.156868,-0.140093,0,0.974538,-0.806532,0
1.22,Body B,0.874953,0.308646,0,-0.687453,0.345295,0
1.22,Body C,-1.03182,-0.168554,0,-0.287085,0.461237,0
1.24,Body A,0.176457,-0.156073,0,0.98444,-0.791121,0
1.24,Body B,0.860917,0.315386,0,-0.716256,0.328438,0
1.24,Body C,-1.03737,-0.159314,0,-0.268184,0.462683,0
1.26,Body A,0.196251,-0.171725,0,0.995032,-0.773739,0
1.26,Body B,0.846302,0.321773,0,-0.745239,0.309882,0
1.26,Body C,-1.04255,-0.150048,0,-0.249793,0.463857,0
1.28,Body A,0.216262,-0.187009,0,1.00616,-0.754339,0
1.28,Body B,0.831107,0.32777,0,-0.77428,0.289543,0
1.28,Body C,-1.04737,-0.140761,0,-0.231884,0.464796,0
1.3,Body A,0.2365,-0.201884,0,1.01767,-0.732879,0
1.3,Body B,0.815331,0.333342,0,-0.80324,0.267343,0
1.3,Body C,-1.05183,-0.131457,0,-0.214428,0.465535,0
1.32,Body A,0.25697,-0.21631,0,1.02936,-0.709325,0
1.32,Body B,0.798979,0.338451,0,-0.831963,0.243221,0
1.32,Body C,-1.05595,-0.122141,0,-0.197398,0.466105,0
1.34,Body A,0.277674,-0.230243,0,1.04104,-0.68366,0
1.34,Body B,0.782055,0.343058,0,-0.860278,0.217128,0
1.34,Body C,-1.05973,-0.112814,0,-0.180764,0.466531,0
1.36,Body A,0.29861,-0.243642,0,1.05249,-0.655881,0
1.36,Body B,0.764571,0.347123,0,-0.887999,0.18904,0
1.36,Body C,-1.06318,-0.10348,0,-0.164495,0.466841,0
1.38,Body A,0.319771,-0.256465,0,1.06349,-0.626008,0
1.38,Body B,0.746541,0.350606,0,-0.914926,0.158953,0
1.38,Body C,-1.06631,-0.0941412,0,-0.148563,0.467055,0
1.4,Body A,0.341145,-0.268669,0,1.07379,-0.594087,0
1.4,Body B,0.727981,0.353468,0,-0.940853,0.126893,0
1.4,Body C,-1.06913,-0.0847987,0,-0.132937,0.467193,0
1.42,Body A,0.362716,-0.280215,0,1.08315,-0.560188,0
1.42,Body B,0.708915,0.355669,0,-0.965567,0.0929148,0
1.42,Body C,-1.07163,-0.0754539,0,-0.117586,0.467273,0
1.44,Body A,0.384463,-0.291064,0,1.09133,-0.524416,0
1.44,Body B,0.689368,0.357172,0,-0.988853,0.0571058,0
1.44,Body C,-1.07383,-0.066108,0,-0.10248,0.46731,0
1.46,Body A,0.40636,-0.30118,0,1.09809,-0.486905,0
1.46,Body B,0.669371,0.357942,0,-1.0105,0.0195885,0
1.46,Body C,-1.07573,-0.0567617,0,-0.0875892,0.467316,0
1.48,Body A,0.428376,-0.31053,0,1.1032,-0.447823,0
1.48,Body B,0.64896,0.357945,0,-1.03032,-0.0194799,0
1.48,Body C,-1.07734,-0.0474155,0,-0.0728826,0.467303,0
1.5,Body A,0.450476,-0.319084,0,1.10646,-0.407371,0
1.5,Body B,0.628172,0.357153,0,-1.04813,-0.0599086,0
1.5,Body C,-1.07865,-0.0380696,0,-0.0583301,0.46728,0
1.52,Body A,0.472621,-0.326817,0,1.10767,-0.365779,0
1.52,Body B,0.607049,0.355541,0,-1.06376,-0.101475,0
1.52,Body C,-1.07967,-0.0287243,0,-0.0439011,0.467254,0
1.54,Body A,0.494768,-0.333709,0,1.10667,-0.323302,0
1.54,Body B,0.585637,0.353088,0,-1.07711,-0.143929,0
1.54,Body C,-1.0804,-0.0193795,0,-0.0295654,0.467231,0
1.56,Body A,0.516872,-0.339745,0,1.10336,-0.280218,0
1.56,Body B,0.563981,0.34978,0,-1.08807,-0.186998,0
1.56,Body C,-1.08085,-0.010035,0,-0.0152925,0.467216,0
1.58,Body A,0.538886,-0.344916,0,1.09764,-0.236818,0
1.58,Body B,0.54213,0.345606,0,-1.09659,-0.230392,0
1.58,Body C,-1.08102,-0.000690768,0,-0.00105225,0.46721,0
1.6,Body A,0.560761,-0.349218,0,1.08948,-0.1934,0
1.6,Body B,0.520134,0.340564,0,-1.10267,-0.273814,0
1.6,Body C,-1.08089,0.00865345,0,0.0131858,0.467214,0
1.62,Body A,0.582449,-0.352653,0,1.07888,-0.150265,0
1.62,Body B,0.49804,0.334656,0,-1.10633,-0.316964,0
1.62,Body C,-1.08049,0.0179979,0,0.0274519,0.467228,0
1.64,Body A,0.603901,-0.355232,0,1.06588,-0.107702,0
1.64,Body B,0.475896,0.327889,0,-1.10766,-0.359548,0
1.64,Body C,-1.0798,0.0273426,0,0.0417764,0.46725,0
1.66,Body A,0.625069,-0.356967,0,1.05058,-0.0659883,0
1.66,Body B,0.453748,0.320279,0,-1.10677,-0.401288,0
