t,body,x,y,z,vx,vy,vz
3.3,Planet,-4.35934,2.31906,0,-1.88056,-3.56305,0
3.35,Star A,-0.0388542,-0.49847,0,4.42944,-0.345364,0
3.35,Star B,0.0388825,0.498504,0,-4.42944,0.345387,0
3.35,Planet,-4.44981,2.13909,0,-1.73766,-3.63448,0
3.4,Star A,0.179177,-0.466781,0,4.14786,1.59201,0
3.4,Star B,-0.179148,0.466816,0,-4.14786,-1.59198,0
3.4,Planet,-4.53302,1.95571,0,-1.58965,-3.69953,0
3.45,Star A,0.36242,-0.344456,0,3.06091,3.22027,0
3.45,Star B,-0.362392,0.344491,0,-3.06091,-3.22024,0
3.45,Planet,-4.60869,1.76922,0,-1.43638,-3.75951,0
3.5,Star A,0.475297,-0.155245,0,1.37963,4.22326,0
3.5,Star B,-0.475268,0.155282,0,-1.37963,-4.22324,0
3.5,Planet,-4.67659,1.57983,0,-1.27926,-3.81518,0
3.55,Star A,0.49589,0.064113,0,-0.569522,4.40624,0
3.55,Star B,-0.49586,-0.0640749,0,0.569525,-4.40622,0
3.55,Planet,-4.73659,1.38778,0,-1.12063,-3.86627,0
3.6,Star A,0.4202,0.271026,0,-2.4081,3.73368,0
3.6,Star B,-0.420171,-0.270987,0,2.4081,-3.73366,0
3.6,Planet,-4.78866,1.1933,0,-0.962446,-3.91155,0
3.65,Star A,0.262924,0.425318,0,-3.7791,2.33617,0
3.65,Star B,-0.262895,-0.425278,0,3.7791,-2.33614,0
3.65,Planet,-4.83285,0.996744,0,-0.805276,-3.94954,0
3.7,Star A,0.0546007,0.497032,0,-4.41633,0.48505,0
3.7,Star B,-0.0545711,-0.496991,0,4.41633,-0.485026,0
3.7,Planet,-4.86919,0.798488,0,-0.648164,-3.97932,0
3.75,Star A,-0.164322,0.472243,0,-4.19605,-1.46024,0
3.75,Star B,0.164351,-0.4722,0,4.19605,1.46027,0
3.75,Planet,-4.89764,0.59895,0,-0.489398,-4.00085,0
3.8,Star A,-0.351336,0.355765,0,-3.16105,-3.12201,0
3.8,Star B,0.351365,-0.355721,0,3.16105,3.12203,0
3.8,Planet,-4.91808,0.398527,0,-0.327548,-4.01493,0
3.85,Star A,-0.470129,0.170213,0,-1.51227,-4.17758,0
3.85,Star B,0.470159,-0.170168,0,1.51227,4.1776,0
3.85,Planet,-4.93034,0.197561,0,-0.162412,-4.02281,0
3.9,Star A,-0.497636,-0.0483843,0,0.430138,-4.422,0
3.9,Star B,0.497666,0.0484308,0,-0.430138,4.42202,0
3.9,Planet,-4.93429,-0.00366847,0,0.00459639,-4.02556,0
3.95,Star A,-0.428516,-0.257582,0,2.28903,-3.80782,0
3.95,Star B,0.428546,0.25763,0,-2.28903,3.80784,0
3.95,Planet,-4.92989,-0.204915,0,0.171049,-4.02345,0
4,Star A,-0.27619,-0.416762,0,3.70346,-2.45428,0
4,Star B,0.27622,0.416811,0,-3.70347,2.45431,0
4,Planet,-4.91723,-0.40592,0,0.334871,-4.01572,0
4.05,Star A,-0.0702342,-0.495015,0,4.39881,-0.624205,0
4.05,Star B,0.0702639,0.495066,0,-4.39881,0.624229,0
4.05,Planet,-4.89646,-0.606372,0,0.495435,-4.0011,0
4.1,Star A,0.149362,-0.477149,0,4.24006,1.32707,0
4.1,Star B,-0.149332,0.4772,0,-4.24006,-1.32705,0
4.1,Planet,-4.86773,-0.805897,0,0.653643,-3.97852,0
4.15,Star A,0.33996,-0.366631,0,3.25803,3.02068,0
4.15,Star B,-0.33993,0.366684,0,-3.25803,-3.02066,0
4.15,Planet,-4.83111,-1.00408,0,0.811199,-3.94757,0
4.2,Star A,0.464551,-0.184921,0,1.6434,4.12778,0
4.2,Star B,-0.464522,0.184974,0,-1.6434,-4.12775,0
4.2,Planet,-4.78659,-1.20052,0,0.969566,-3.90877,0
4.25,Star A,0.498946,0.0327002,0,-0.290325,4.4334,0
4.25,Star B,-0.498917,-0.0326454,0,0.290321,-4.43338,0
4.25,Planet,-4.73413,-1.39485,0,1.12901,-3.86337,0
4.3,Star A,0.436465,0.243977,0,-2.16768,3.87821,0
4.3,Star B,-0.436436,-0.243921,0,2.16767,-3.87818,0
4.3,Planet,-4.67369,-1.58677,0,1.2882,-3.81282,0
4.35,Star A,0.28924,0.407887,0,-3.62414,2.57,0
4.35,Star B,-0.289211,-0.40783,0,3.62414,-2.56998,0
4.35,Planet,-4.60535,-1.77606,0,1.4448,-3.75791,0
4.4,Star A,0.0858565,0.492605,0,-4.37692,0.762785,0
4.4,Star B,-0.0858279,-0.492547,0,4.37691,-0.762762,0
4.4,Planet,-4.52929,-1.96249,0,1.59678,-3.69835,0
4.45,Star A,-0.134194,0.481681,0,-4.27984,-1.19253,0
4.45,Star B,0.134223,-0.481622,0,4.27984,1.19256,0
4.45,Planet,-4.44576,-2.1458,0,1.7435,-3.63301,0
4.5,Star A,-0.328186,0.377237,0,-3.35177,-2.9163,0
4.5,Star B,0.328214,-0.377176,0,3.35176,2.91632,0
4.5,Planet,-4.35502,-2.32567,0,1.88574,-3.56061,0
4.55,Star A,-0.458453,0.199551,0,-1.7729,-4.07382,0
4.55,Star B,0.45848,-0.19949,0,1.77289,4.07384,0
4.55,Planet,-4.25724,-2.50173,0,2.02509,-3.48042,0
4.6,Star A,-0.4997,-0.0168741,0,0.150216,-4.44033,0
4.6,Star B,0.499728,0.016937,0,-0.150222,4.44035,0
4.6,Planet,-4.15253,-2.67359,0,2.16299,-3.3927,0
4.65,Star A,-0.44392,-0.230017,0,2.04416,-3.94468,0
4.65,Star B,0.443948,0.230081,0,-2.04417,3.9447,0
4.65,Planet,-4.04096,-2.8409,0,2.29978,-3.29876,0
4.7,Star A,-0.301943,-0.398492,0,3.5412,-2.68311,0
4.7,Star B,0.30197,0.398557,0,-3.5412,2.68313,0
4.7,Planet,-3.92259,-3.00339,0,2.43436,-3.20041,0
4.75,Star A,-0.101337,-0.489587,0,4.35065,-0.90056,0
4.75,Star B,0.101363,0.489654,0,-4.35066,0.900581,0
4.75,Planet,-3.79759,-3.16088,0,2.56464,-3.09895,0
4.8,Star A,0.118949,-0.485615,0,4.31535,1.05685,0
4.8,Star B,-0.118923,0.485682,0,-4.31536,-1.05683,0
4.8,Planet,-3.66623,-3.31323,0,2.68877,-2.99444,0
4.85,Star A,0.316141,-0.387345,0,3.44216,2.80905,0
4.85,Star B,-0.316116,0.387414,0,-3.44217,-2.80903,0
4.85,Planet,-3.52883,-3.46026,0,2.80606,-2.88582,0
4.9,Star A,0.451952,-0.21386,0,1.90061,4.01584,0
4.9,Star B,-0.451927,0.213929,0,-1.90062,-4.01582,0
4.9,Planet,-3.38573,-3.60172,0,2.91714,-2.77163,0
4.95,Star A,0.500011,0.00115653,0,-0.00996942,4.44288,0
4.95,Star B,-0.499986,-0.00108632,0,0.00996035,-4.44286,0
4.95,Planet,-3.2372,-3.73731,0,3.02339,-2.65083,0
5,Star A,0.450987,0.215955,0,-1.91862,4.00727,0
5,Star B,-0.450963,-0.215884,0,1.91861,-4.00725,0
5,Planet,-3.08345,-3.8667,0,3.12615,-2.52351,0
5.05,Star A,0.314399,0.38883,0,-3.45473,2.79358,0
5.05,Star B,-0.314376,-0.388758,0,3.45472,-2.79356,0
5.05,Planet,-2.92463,-3.98958,0,3.22594,-2.39107,0
5.1,Star A,0.116768,0.486213,0,-4.32006,1.03748,0
5.1,Star B,-0.116745,-0.48614,0,4.32005,-1.03746,0
5.1,Planet,-2.76091,-4.10575,0,3.32199,-2.25563,0
5.15,Star A,-0.103534,0.489198,0,-4.34657,-0.920068,0
5.15,Star B,0.103556,-0.489124,0,4.34656,0.920086,0
5.15,Planet,-2.59252,-4.21512,0,3.4126,-2.11886,0
5.2,Star A,-0.30373,0.397204,0,-3.52913,-2.69897,0
5.2,Star B,0.303753,-0.397129,0,3.52912,2.69898,0
5.2,Planet,-2.41977,-4.31762,0,3.49615,-1.98107,0
