t,energy,relative_drift
14.751,-19.7392,-2.01689e-10
14.801,-19.7392,-2.02374e-10
14.851,-19.7392,-2.03058e-10
14.901,-19.7392,-2.03741e-10
14.951,-19.7392,-2.04425e-10
15.001,-19.7392,-2.05107e-10
15.051,-19.7392,-2.05791e-10
15.101,-19.7392,-2.06475e-10
15.151,-19.7392,-2.07158e-10
15.201,-19.7392,-2.07843e-10
15.251,-19.7392,-2.08525e-10
15.301,-19.7392,-2.09209e-10
15.351,-19.7392,-2.09893e-10
15.401,-19.7392,-2.10578e-10
15.451,-19.7392,-2.11261e-10
15.501,-19.7392,-2.11945e-10
15.551,-19.7392,-2.12628e-10
15.601,-19.7392,-2.13311e-10
15.651,-19.7392,-2.13993e-10
15.701,-19.7392,-2.14678e-10
15.751,-19.7392,-2.15361e-10
15.801,-19.7392,-2.16048e-10
15.851,-19.7392,-2.1673e-10
15.901,-19.7392,-2.17414e-10
15.951,-19.7392,-2.18098e-10
16.001,-19.7392,-2.18782e-10
16.051,-19.7392,-2.19465e-10
16.101,-19.7392,-2.20149e-10
16.151,-19.7392,-2.20833e-10
16.201,-19.7392,-2.21517e-10
16.251,-19.7392,-2.22201e-10
16.301,-19.7392,-2.22885e-10
16.351,-19.7392,-2.23569e-10
16.401,-19.7392,-2.24252e-10
16.451,-19.7392,-2.24937e-10
16.501,-19.7392,-2.25621e-10
16.551,-19.7392,-2.26306e-10
16.601,-19.7392,-2.26989e-10
16.651,-19.7392,-2.27673e-10
16.701,-19.7392,-2.28358e-10
16.751,-19.7392,-2.29041e-10
16.801,-19.7392,-2.29725e-10
16.851,-19.7392,-2.30408e-10
16.901,-19.7392,-2.31091e-10
16.951,-19.7392,-2.31776e-10
17.001,-19.7392,-2.32459e-10
17.051,-19.7392,-2.33144e-10
17.101,-19.7392,-2.33828e-10
17.151,-19.7392,-2.34512e-10
17.201,-19.7392,-2.35196e-10
17.251,-19.7392,-2.35879e-10
17.301,-19.7392,-2.36563e-10
17.351,-19.7392,-2.37248e-10
17.401,-19.7392,-2.37931e-10
17.451,-19.7392,-2.38614e-10
17.501,-19.7392,-2.39298e-10
17.551,-19.7392,-2.3998e-10
17.601,-19.7392,-2.40664e-10
17.651,-19.7392,-2.41347e-10
17.701,-19.7392,-2.42031e-10
17.751,-19.7392,-2.42715e-10
17.801,-19.7392,-2.43398e-10
17.851,-19.7392,-2.44081e-10
17.901,-19.7392,-2.44764e-10
17.951,-19.7392,-2.45447e-10
18.001,-19.7392,-2.4613e-10
18.051,-19.7392,-2.46814e-10
18.1,-19.7392,-2.47484e-10
18.15,-19.7392,-2.48168e-10
18.2,-19.7392,-2.48852e-10
18.25,-19.7392,-2.49535e-10
18.3,-19.7392,-2.50219e-10
18.35,-19.7392,-2.50903e-10
18.4,-19.7392,-2.51586e-10
18.45,-19.7392,-2.5227e-10
18.5,-19.7392,-2.52954e-10
18.55,-19.7392,-2.53638e-10
18.6,-19.7392,-2.54322e-10
18.65,-19.7392,-2.55005e-10
18.7,-19.7392,-2.55689e-10
18.75,-19.7392,-2.56372e-10
18.8,-19.7392,-2.57056e-10
18.85,-19.7392,-2.57739e-10
18.9,-19.7392,-2.58424e-10
18.95,-19.7392,-2.59108e-10
19,-19.7392,-2.59792e-10
19.05,-19.7392,-2.60476e-10
19.1,-19.7392,-2.6116e-10
19.15,-19.7392,-2.61842e-10
19.2,-19.7392,-2.62526e-10
19.25,-19.7392,-2.63209e-10
19.3,-19.7392,-2.63893e-10
19.35,-19.7392,-2.64577e-10
19.4,-19.7392,-2.65261e-10
19.45,-19.7392,-2.65943e-10
19.5,-19.7392,-2.66628e-10
19.55,-19.7392,-2.67312e-10
19.6,-19.7392,-2.67995e-10
19.65,-19.7392,-2.68679e-10
19.7,-19.7392,-2.69363e-10
19.75,-19.7392,-2.70046e-10
19.8,-19.7392,-2.70731e-10
19.85,-19.7392,-2.71413e-10
19.9,-19.7392,-2.72098e-10
19.95,-19.7392,-2.72781e-10
20,-19.7392,-2.73464e-10
