t,body,x,y,z,vx,vy,vz
0.25,Venus,-0.602162,0.399455,0,-4.08518,-6.16085,0
0.25,Earth,-2.47101e-05,0.999989,0,-6.28329,-0.000168028,0
0.25,Mars,1.02294,1.12954,0,-3.77296,3.41588,0
0.26,Sun,6.71244e-06,6.24645e-06,0,2.93038e-05,5.49802e-05,0
0.26,Mercury,0.339083,0.186541,0,-4.86833,8.84907,0
0.26,Venus,-0.639795,0.335866,0,-3.43487,-6.54587,0
0.26,Earth,-0.0628162,0.998014,0,-6.27088,-0.394706,0
0.26,Mars,0.984648,1.16306,0,-3.88496,3.28799,0
0.27,Sun,6.99862e-06,6.8076e-06,0,2.78952e-05,5.72352e-05,0
0.27,Mercury,0.279468,0.267714,0,-6.98693,7.29322,0
0.27,Venus,-0.670739,0.268766,0,-2.74862,-6.86247,0
0.27,Earth,-0.12536,0.992101,0,-6.23372,-0.787686,0
0.27,Mars,0.945256,1.19528,0,-3.99262,3.15643,0
0.28,Sun,7.2696e-06,7.39081e-06,0,2.62628e-05,5.93877e-05,0
0.28,Mercury,0.200926,0.330755,0,-8.63235,5.24335,0
0.28,Venus,-0.694671,0.198856,0,-2.0336,-7.10733,0
0.28,Earth,-0.187409,0.982271,0,-6.17196,-1.17756,0
0.28,Mars,0.90481,1.22617,0,-4.09583,3.02134,0
0.29,Sun,7.52313e-06,7.9949e-06,0,2.44071e-05,6.14039e-05,0
0.29,Mercury,0.108774,0.371394,0,-9.69315,2.83826,0
0.29,Venus,-0.711341,0.126867,0,-1.2973,-7.27789,0
0.29,Earth,-0.248718,0.968565,0,-6.08583,-1.56278,0
0.29,Mars,0.863355,1.2557,0,-4.19447,2.88289,0
0.3,Sun,7.75702e-06,8.61832e-06,0,2.23361e-05,6.3248e-05,0
0.3,Mercury,0.00925597,0.386877,0,-10.0974,0.240817,0
0.3,Venus,-0.720572,0.0535517,0,-0.547422,-7.37237,0
0.3,Earth,-0.309045,0.951036,0,-5.97569,-1.94184,0
0.3,Mars,0.820936,1.28382,0,-4.28843,2.74121,0
0.31,Sun,7.96919e-06,9.25917e-06,0,2.00659e-05,6.48839e-05,0
0.31,Mercury,-0.0908889,0.376155,0,-9.81771,-2.37306,0
0.31,Venus,-0.72227,-0.0203233,0,0.208195,-7.38976,0
0.31,Earth,-0.368153,0.929754,0,-5.84196,-2.31323,0
0.31,Mars,0.777602,1.31051,0,-4.37762,2.59648,0
0.32,Sun,8.15775e-06,9.91519e-06,0,1.76205e-05,6.62775e-05,0
0.32,Mercury,-0.184876,0.339953,0,-8.87292,-4.8263,0
0.32,Venus,-0.716416,-0.0939858,0,0.961639,-7.32988,0
0.32,Earth,-0.425808,0.904802,0,-5.68518,-2.67549,0
0.32,Mars,0.7334,1.33574,0,-4.46192,2.44884,0
0.33,Sun,8.32112e-06,1.05838e-05,0,1.50315e-05,6.73986e-05,0
0.33,Mercury,-0.266339,0.280721,0,-7.32698,-6.95269,0
0.33,Venus,-0.703071,-0.166665,0,1.70503,-7.19337,0
0.33,Earth,-0.481782,0.876279,0,-5.50596,-3.02719,0
0.33,Mars,0.68838,1.35948,0,-4.54124,2.29847,0
0.34,Sun,8.45803e-06,1.12622e-05,0,1.23374e-05,6.82226e-05,0
0.34,Mercury,-0.329757,0.202472,0,-5.28459,-8.60812,0
0.34,Venus,-0.682374,-0.237602,0,2.43058,-6.98164,0
0.34,Earth,-0.535854,0.844298,0,-5.305,-3.36694,0
0.34,Mars,0.642592,1.3817,0,-4.6155,2.14553,0
0.35,Sun,8.56766e-06,1.19472e-05,0,9.58197e-06,6.87325e-05,0
0.35,Mercury,-0.370834,0.110507,0,-2.88412,-9.68039,0
0.35,Venus,-0.654544,-0.306055,0,3.1307,-6.69693,0
0.35,Earth,-0.587812,0.808985,0,-5.08312,-3.69341,0
0.35,Mars,0.596087,1.40238,0,-4.68461,1.9902,0
0.36,Sun,8.64963e-06,1.26357e-05,0,6.81262e-06,6.89196e-05,0
0.36,Mercury,-0.386787,0.0110558,0,-0.288203,-10.0968,0
0.36,Venus,-0.61987,-0.371307,0,3.79808,-6.34221,0
0.36,Earth,-0.63745,0.770478,0,-4.84116,-4.00529,0
0.36,Mars,0.548918,1.4215,0,-4.74849,1.83264,0
0.37,Sun,8.70403e-06,1.33245e-05,0,4.07831e-06,6.87845e-05,0
0.37,Mercury,-0.376533,-0.0891438,0,2.32725,-9.82918,0
0.37,Venus,-0.578715,-0.432678,0,4.42571,-5.92119,0
0.37,Earth,-0.684572,0.728931,0,-4.58011,-4.30137,0
0.37,Mars,0.501135,1.43903,0,-4.80708,1.67304,0
0.38,Sun,8.73147e-06,1.40104e-05,0,1.42743e-06,6.83377e-05,0
0.38,Mercury,-0.340768,-0.183303,0,4.78501,-8.8956,0
0.38,Venus,-0.53151,-0.489525,0,5.00706,-5.43829,0
0.38,Earth,-0.728992,0.684508,0,-4.30097,-4.58047,0
0.38,Mars,0.452794,1.45495,0,-4.86031,1.51156,0
0.39,Sun,8.73301e-06,1.46903e-05,0,-1.09436e-06,6.75984e-05,0
0.39,Mercury,-0.281916,-0.265042,0,6.91854,-7.35937,0
0.39,Venus,-0.478748,-0.541254,0,5.53603,-4.89857,0
0.39,Earth,-0.770534,0.637382,0,-4.00487,-4.84149,0
0.39,Mars,0.403947,1.46925,0,-4.90811,1.3484,0
0.4,Sun,8.71015e-06,1.53615e-05,0,-3.44618e-06,6.65945e-05,0
0.4,Mercury,-0.203964,-0.328825,0,8.58328,-5.3246,0
0.4,Venus,-0.420982,-0.587326,0,6.0071,-4.30768,0
0.4,Earth,-0.809036,0.587742,0,-3.69295,-5.0834,0
0.4,Mars,0.35465,1.48192,0,-4.95044,1.18373,0
0.41,Sun,8.66477e-06,1.60214e-05,0,-5.59368e-06,6.53612e-05,0
0.41,Mercury,-0.112193,-0.37033,0,9.66649,-2.9292,0
0.41,Venus,-0.358816,-0.627258,0,6.41535,-3.6718,0
0.41,Earth,-0.844345,0.535781,0,-3.36647,-5.30525,0
0.41,Mars,0.304957,1.49293,0,-4.98725,1.01773,0
0.42,Sun,8.59905e-06,1.66681e-05,0,-7.51048e-06,6.39387e-05,0
0.42,Mercury,-0.0128219,-0.386746,0,10.0948,-0.335487,0
0.42,Venus,-0.292899,-0.660634,0,6.75652,-2.9976,0
0.42,Earth,-0.876321,0.481706,0,-3.02669,-5.50617,0
0.42,Mars,0.254923,1.50227,0,-5.01849,0.850597,0
0.43,Sun,8.51539e-06,1.72997e-05,0,-9.17907e-06,6.23709e-05,0
0.43,Mercury,0.0874186,-0.376964,0,9.83934,2.28083,0
0.43,Venus,-0.223921,-0.687106,0,7.02705,-2.29211,0
0.43,Earth,-0.904839,0.42573,0,-2.67498,-5.68534,0
0.43,Mars,0.204606,1.50993,0,-5.04413,0.682509,0
0.44,Sun,8.41632e-06,1.79152e-05,0,-1.05912e-05,6.07029e-05,0
0.44,Mercury,0.181738,-0.341646,0,8.91741,4.74253,0
0.44,Venus,-0.152603,-0.706397,0,7.22413,-1.56274,0
0.44,Earth,-0.929786,0.368074,0,-2.3127,-5.84208,0
0.44,Mars,0.15406,1.51592,0,-5.06414,0.513657,0
0.45,Sun,8.30441e-06,1.85136e-05,0,-1.1748e-05,5.8979e-05,0
0.45,Mercury,0.263749,-0.283187,0,7.39153,6.8829,0
0.45,Venus,-0.0796901,-0.718306,0,7.34571,-0.817097,0
0.45,Earth,-0.951063,0.308965,0,-1.9413,-5.97577,0
0.45,Mars,0.103342,1.52021,0,-5.07851,0.344228,0
0.46,Sun,8.18218e-06,1.90947e-05,0,-1.2659e-05,5.72407e-05,0
0.46,Mercury,0.327897,-0.205546,0,5.36509,8.55703,0
0.46,Venus,-0.00594462,-0.72271,0,7.39053,-0.0629829,0
0.46,Earth,-0.968586,0.248637,0,-1.56224,-6.08587,0
0.46,Mars,0.0525084,1.5228,0,-5.0872,0.174412,0
0.47,Sun,8.052e-06,1.96585e-05,0,-1.33412e-05,5.55244e-05,0
0.47,Mercury,0.369837,-0.113982,0,2.97534,9.65158,0
0.47,Venus,0.0678631,-0.719564,0,7.35814,0.691722,0
0.47,Earth,-0.982287,0.187328,0,-1.17702,-6.17194,0
0.47,Mars,0.00161652,1.52369,0,-5.09022,0.00439779,0
0.48,Sun,7.91604e-06,2.02054e-05,0,-1.38176e-05,5.38607e-05,0
0.48,Mercury,0.38673,-0.0146982,0,0.384128,10.0924,0
0.48,Venus,0.140962,-0.7089,0,7.24889,1.43913,0
