t,energy,relative_drift
3.2,-0.000138783,-1.75575e-09
3.21,-0.000138783,-1.76123e-09
3.22,-0.000138783,-1.7667e-09
3.23,-0.000138783,-1.77218e-09
3.24,-0.000138783,-1.77766e-09
3.25,-0.000138783,-1.78314e-09
3.26,-0.000138783,-1.78863e-09
3.27,-0.000138783,-1.79412e-09
3.28,-0.000138783,-1.79961e-09
3.29,-0.000138783,-1.80511e-09
3.3,-0.000138783,-1.81061e-09
3.31,-0.000138783,-1.8161e-09
3.32,-0.000138783,-1.8216e-09
3.33,-0.000138783,-1.8271e-09
3.34,-0.000138783,-1.83259e-09
3.35,-0.000138783,-1.83808e-09
3.36,-0.000138783,-1.84357e-09
3.37,-0.000138783,-1.84906e-09
3.38,-0.000138783,-1.85454e-09
3.39,-0.000138783,-1.86002e-09
3.4,-0.000138783,-1.8655e-09
3.41,-0.000138783,-1.87097e-09
3.42,-0.000138783,-1.87645e-09
3.43,-0.000138783,-1.88192e-09
3.44,-0.000138783,-1.8874e-09
3.45,-0.000138783,-1.89288e-09
3.46,-0.000138783,-1.89836e-09
3.47,-0.000138783,-1.90384e-09
3.48,-0.000138783,-1.90933e-09
3.49,-0.000138783,-1.91483e-09
3.5,-0.000138783,-1.92032e-09
3.51,-0.000138783,-1.92582e-09
3.52,-0.000138783,-1.93132e-09
3.53,-0.000138783,-1.93683e-09
3.54,-0.000138783,-1.94234e-09
3.55,-0.000138783,-1.94784e-09
3.56,-0.000138783,-1.95334e-09
3.57,-0.000138783,-1.95885e-09
3.58,-0.000138783,-1.96435e-09
3.59,-0.000138783,-1.96985e-09
3.6,-0.000138783,-1.97534e-09
3.61,-0.000138783,-1.98083e-09
3.62,-0.000138783,-1.98632e-09
3.63,-0.000138783,-1.9918e-09
3.64,-0.000138783,-1.99728e-09
3.65,-0.000138783,-2.00275e-09
3.66,-0.000138783,-2.00822e-09
3.67,-0.000138783,-2.0137e-09
3.68,-0.000138783,-2.01917e-09
3.69,-0.000138783,-2.02464e-09
3.7,-0.000138783,-2.03012e-09
3.71,-0.000138783,-2.0356e-09
3.72,-0.000138783,-2.04108e-09
3.73,-0.000138783,-2.04657e-09
3.74,-0.000138783,-2.05206e-09
3.75,-0.000138783,-2.05755e-09
3.76,-0.000138783,-2.06305e-09
3.77,-0.000138783,-2.06854e-09
3.78,-0.000138783,-2.07404e-09
3.79,-0.000138783,-2.07954e-09
3.8,-0.000138783,-2.08504e-09
3.81,-0.000138783,-2.09053e-09
3.82,-0.000138783,-2.09603e-09
3.83,-0.000138783,-2.10152e-09
3.84,-0.000138783,-2.107e-09
3.85,-0.000138783,-2.11248e-09
3.86,-0.000138783,-2.11796e-09
3.87,-0.000138783,-2.12344e-09
3.88,-0.000138783,-2.12891e-09
3.89,-0.000138783,-2.13438e-09
3.9,-0.000138783,-2.13984e-09
3.91,-0.000138783,-2.14531e-09
3.92,-0.000138783,-2.15078e-09
3.93,-0.000138783,-2.15626e-09
3.94,-0.000138783,-2.16173e-09
3.95,-0.000138783,-2.16721e-09
3.96,-0.000138783,-2.17269e-09
3.97,-0.000138783,-2.17818e-09
3.98,-0.000138783,-2.18367e-09
3.99,-0.000138783,-2.18917e-09
4,-0.000138783,-2.19467e-09
4.01,-0.000138783,-2.20017e-09
4.02,-0.000138783,-2.20567e-09
4.03,-0.000138783,-2.21118e-09
4.04,-0.000138783,-2.21668e-09
4.05,-0.000138783,-2.22218e-09
4.06,-0.000138783,-2.22768e-09
4.07,-0.000138783,-2.23318e-09
4.08,-0.000138783,-2.23867e-09
4.09,-0.000138783,-2.24416e-09
4.1,-0.000138783,-2.24965e-09
4.11,-0.000138783,-2.25513e-09
4.12,-0.000138783,-2.26061e-09
4.13,-0.000138783,-2.26609e-09
4.14,-0.000138783,-2.27156e-09
4.15,-0.000138783,-2.27704e-09
4.16,-0.000138783,-2.28252e-09
4.17,-0.000138783,-2.288e-09
4.18,-0.000138783,-2.29348e-09
4.19,-0.000138783,-2.29896e-09
4.2,-0.000138783,-2.30445e-09
4.21,-0.000138783,-2.30994e-09
4.22,-0.000138783,-2.31544e-09
4.23,-0.000138783,-2.32094e-09
4.24,-0.000138783,-2.32644e-09
4.25,-0.000138783,-2.33194e-09
4.26,-0.000138783,-2.33744e-09
4.27,-0.000138783,-2.34295e-09
4.28,-0.000138783,-2.34845e-09
4.29,-0.000138783,-2.35395e-09
4.3,-0.000138783,-2.35944e-09
4.31,-0.000138783,-2.36493e-09
4.32,-0.000138783,-2.37042e-09
4.33,-0.000138783,-2.37591e-09
4.34,-0.000138783,-2.38139e-09
4.35,-0.000138783,-2.38686e-09
4.36,-0.000138783,-2.39234e-09
4.37,-0.000138783,-2.39781e-09
4.38,-0.000138783,-2.40328e-09
4.39,-0.000138783,-2.40875e-09
4.4,-0.000138783,-2.41422e-09
4.41,-0.000138783,-2.41969e-09
4.42,-0.000138783,-2.42516e-09
4.43,-0.000138783,-2.43064e-09
4.44,-0.000138783,-2.43612e-09
4.45,-0.000138783,-2.4416e-09
4.46,-0.000138783,-2.44709e-09
4.47,-0.000138783,-2.45258e-09
4.48,-0.000138783,-2.45807e-09
4.49,-0.000138783,-2.46356e-09
4.5,-0.000138783,-2.46906e-09
4.51,-0.000138783,-2.47456e-09
4.52,-0.000138783,-2.48005e-09
4.53,-0.000138783,-2.48555e-09
4.54,-0.000138783,-2.49104e-09
4.55,-0.000138783,-2.49654e-09
